Model,TechNode,Subarray,MemCell,Dataflow,Layer,Latency,Energy,Operations,Mem_Reads,Mem_Writes,L1_Accesses,L2_Accesses,DRAM_Accesses,DRAM_to_Xbar,Xbar_to_ADC,OutputStationary,PE_to_Output,Weight_to_PE,ADC_to_GB,PE_to_Register,Register_to_PE
densenet40,22,64,2,WS,QConv2d_127611328890160,1.4e-05,0.0,786432,1774656,786432,887328,591552,177465,0,0,0,786432,1769472,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328890352,8e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,196608,786432,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328891216,1.5e-05,0.0,983040,1973280,983040,986640,657760,197328,0,0,0,983040,1966080,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328891744,7e-06,0.0,196608,248640,196608,124320,82880,24864,0,0,0,196608,245760,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328891936,6e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328892512,7e-06,0.0,196608,298368,196608,149184,99456,29836,0,0,0,196608,294912,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328892704,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328893232,7e-06,0.0,196608,348096,196608,174048,116032,34809,0,0,0,196608,344064,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328893424,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328894000,7e-06,0.0,196608,397824,196608,198912,132608,39782,0,0,0,196608,393216,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328894192,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328894768,7e-06,0.0,196608,447552,196608,223776,149184,44755,0,0,0,196608,442368,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328894960,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328895440,7e-06,0.0,196608,497280,196608,248640,165760,49728,0,0,0,196608,491520,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328895632,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,22,64,2,WS,QLinear_127611328896448,4e-06,0.0,640,9768,640,4884,3256,976,0,0,0,640,8448,0,0,0
densenet40,45,256,2,RS,QConv2d_123459412288016,2.8e-05,1e-06,1572864,197256,1572864,98628,65752,19725,0,0,0,0,0,0,1572864,196608
densenet40,45,256,2,RS,QConv2d_123459412288160,3.2e-05,2e-06,3145728,1574016,3145728,787008,524672,157401,0,0,0,0,0,0,3145728,1572864
densenet40,45,256,2,RS,QConv2d_123459412288640,2.9e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,0,0,0,0,786432,3145728
densenet40,45,256,2,RS,QConv2d_123459412289216,3.1e-05,2e-06,3145728,2361024,3145728,1180512,787008,236102,0,0,0,0,0,0,3145728,2359296
densenet40,45,256,2,RS,QConv2d_123459412289408,1.4e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,0,0,0,0,786432,3145728
densenet40,45,256,2,RS,QConv2d_123459412289984,3.2e-05,2e-06,3145728,3148032,3145728,1574016,1049344,314803,0,0,0,0,0,0,3145728,3145728
densenet40,45,256,2,RS,QConv2d_123459412290176,1.3e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,0,0,0,0,786432,3145728
densenet40,45,256,2,RS,QConv2d_123459412290752,3.1e-05,2e-06,3145728,3935040,3145728,1967520,1311680,393504,0,0,0,0,0,0,3145728,3932160
densenet40,45,256,2,RS,QConv2d_123459412290944,3e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,0,0,0,0,786432,3145728
densenet40,45,256,2,RS,QConv2d_123459412291088,3e-05,2e-06,3145728,4722048,3145728,2361024,1574016,472204,0,0,0,0,0,0,3145728,4718592
densenet40,45,256,2,RS,QConv2d_123459412287200,1.2e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,0,0,0,0,786432,3145728
densenet40,45,256,2,RS,QConv2d_123459412291568,3.1e-05,2e-06,3145728,5509056,3145728,2754528,1836352,550905,0,0,0,0,0,0,3145728,5505024
densenet40,45,256,2,RS,QConv2d_123459412291760,1.3e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,0,0,0,0,786432,3145728
densenet40,45,256,2,RS,QConv2d_123459412292624,3.1e-05,2e-06,3145728,6296064,3145728,3148032,2098688,629606,0,0,0,0,0,0,3145728,6291456
densenet40,45,256,2,RS,QConv2d_123459412293104,1.2e-05,0.0,786432,788736,786432,394368,262912,78873,0,0,0,0,0,0,786432,786432
densenet40,45,256,2,RS,QConv2d_123459412293296,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,0,0,0,196608,786432
densenet40,45,256,2,RS,QConv2d_123459412293872,1.3e-05,0.0,786432,985920,786432,492960,328640,98592,0,0,0,0,0,0,786432,983040
densenet40,45,256,2,RS,QConv2d_123459412294064,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,0,0,0,196608,786432
densenet40,45,256,2,RS,QConv2d_123459412294592,1.3e-05,0.0,786432,1183104,786432,591552,394368,118310,0,0,0,0,0,0,786432,1179648
densenet40,45,256,2,RS,QConv2d_123459412294784,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,0,0,0,196608,786432
densenet40,45,256,2,RS,QConv2d_123459412295360,1.3e-05,0.0,786432,1380288,786432,690144,460096,138028,0,0,0,0,0,0,786432,1376256
