Model,TechNode,BatchSize,Subarray,MemCell,Dataflow,Layer,Latency,Energy,Mem_Reads,Mem_Writes,L1_Accesses,L2_Accesses,DRAM_Accesses,PE_to_PE,GB_to_PE,DRAM_to_GB
resnet18,45,64,256,1,OS,QConv2d_129245642395472,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,45,64,256,1,OS,QConv2d_129245642396528,1e-06,1e-06,12853248,6422528,6426624,4284416,1285324,1605632,3211264,1070421
resnet18,45,64,256,1,OS,QConv2d_129245642395136,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,45,64,256,1,OS,QConv2d_129245642398496,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,45,64,256,1,OS,QConv2d_129245642398976,1e-06,1e-06,6717440,3211264,3358720,2239146,671744,802816,1605632,535210
resnet18,45,64,256,1,OS,QConv2d_129245642399120,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,45,64,256,1,OS,QConv2d_129245642398592,1e-06,1e-06,6455296,3211264,3227648,2151765,645529,802816,1605632,535210
resnet18,45,64,256,1,OS,QConv2d_129245642399312,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,45,64,256,1,OS,QConv2d_129245642399456,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,45,64,256,1,OS,QConv2d_129245642399936,1e-06,0.0,4390912,1605632,2195456,1463637,439091,401408,802816,267605
resnet18,45,64,256,1,OS,QConv2d_129245642400080,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,45,64,256,1,OS,QConv2d_129245642399552,1e-06,0.0,3342336,1605632,1671168,1114112,334233,401408,802816,267605
resnet18,45,64,256,1,OS,QConv2d_129245642400272,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,45,64,256,1,OS,QConv2d_129245642400416,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,45,64,256,1,OS,QLinear_129245642400704,1e-06,0.0,544768,64000,272384,181589,54476,16000,32000,10666
resnet18,22,64,128,2,RS,QConv2d_133202742506128,1e-06,0.0,9643200,51380224,4821600,3214400,964320,12845056,25690112,8563370
resnet18,22,64,128,2,RS,QConv2d_133202751790336,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,128,2,RS,QConv2d_133202742728496,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,128,2,RS,QConv2d_133202742727680,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,128,2,RS,QConv2d_133202742727632,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,128,2,RS,QConv2d_133202742726768,1e-06,1e-06,12918784,6422528,6459392,4306261,1291878,1605632,3211264,1070421
resnet18,22,64,128,2,RS,QConv2d_133202742726432,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,128,2,RS,QConv2d_133202742727488,1e-06,1e-06,12853248,6422528,6426624,4284416,1285324,1605632,3211264,1070421
resnet18,22,64,128,2,RS,QConv2d_133202742726096,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,128,2,RS,QConv2d_133202742725952,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,128,2,RS,QConv2d_133202742729600,1e-06,0.0,6717440,3211264,3358720,2239146,671744,802816,1605632,535210
resnet18,22,64,128,2,RS,QConv2d_133202742729744,1e-06,0.0,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,128,2,RS,QConv2d_133202742729216,2e-06,1e-06,6455296,3211264,3227648,2151765,645529,802816,1605632,535210
resnet18,22,64,128,2,RS,QConv2d_133202742729936,1e-06,0.0,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,128,2,RS,QConv2d_133202742730080,2e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,128,2,RS,QConv2d_133202742730512,1e-06,0.0,4390912,1605632,2195456,1463637,439091,401408,802816,267605
resnet18,22,64,128,2,RS,QConv2d_133202742730656,1e-06,0.0,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,22,64,128,2,RS,QConv2d_133202742730176,1e-06,1e-06,3342336,1605632,1671168,1114112,334233,401408,802816,267605
resnet18,22,64,128,2,RS,QConv2d_133202742730848,1e-06,0.0,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,22,64,128,2,RS,QConv2d_133202742730992,1e-06,0.0,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,22,64,128,2,RS,QLinear_133202742731280,1e-06,0.0,544768,64000,272384,181589,54476,16000,32000,10666
resnet18,7,64,128,2,IMC,QConv2d_125844967351808,1.8e-05,9e-06,9643200,51380224,4821600,3214400,964320,12845056,25690112,8563370
resnet18,7,64,128,2,IMC,QConv2d_125844562875296,1.5e-05,7e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,128,2,IMC,QConv2d_125844560371472,1.4e-05,7e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,128,2,IMC,QConv2d_125844562760752,1.3e-05,7e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,128,2,IMC,QConv2d_125844560547952,1.3e-05,7e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
