Model,TechNode,BatchSize,Subarray,MemCell,Dataflow,Layer,Latency,Energy,Mem_Reads,Mem_Writes,L1_Accesses,L2_Accesses,DRAM_Accesses,PE_to_PE,GB_to_PE,DRAM_to_GB
resnet18,22,64,256,2,OS,QConv2d_131055694271776,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,256,2,OS,QConv2d_131055694271632,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,256,2,OS,QConv2d_131055694271440,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,256,2,OS,QConv2d_131055694270528,1e-06,1e-06,12918784,6422528,6459392,4306261,1291878,1605632,3211264,1070421
resnet18,22,64,256,2,OS,QConv2d_131055694270384,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,256,2,OS,QConv2d_131055693928000,1e-06,1e-06,12853248,6422528,6426624,4284416,1285324,1605632,3211264,1070421
resnet18,22,64,256,2,OS,QConv2d_131055694270048,2e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,256,2,OS,QConv2d_131055694273312,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,256,2,OS,QConv2d_131055694273648,1e-06,1e-06,6717440,3211264,3358720,2239146,671744,802816,1605632,535210
resnet18,22,64,256,2,OS,QConv2d_131055694273840,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,256,2,OS,QConv2d_131055694273408,1e-06,1e-06,6455296,3211264,3227648,2151765,645529,802816,1605632,535210
resnet18,22,64,256,2,OS,QConv2d_131055694274032,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,256,2,OS,QConv2d_131055694274176,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,256,2,OS,QConv2d_131055694274656,1e-06,1e-06,4390912,1605632,2195456,1463637,439091,401408,802816,267605
resnet18,22,64,256,2,OS,QConv2d_131055694274800,1e-06,0.0,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,22,64,256,2,OS,QConv2d_131055694274272,1e-06,1e-06,3342336,1605632,1671168,1114112,334233,401408,802816,267605
resnet18,22,64,256,2,OS,QConv2d_131055694274992,1e-06,0.0,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,22,64,256,2,OS,QConv2d_131055694275136,1e-06,0.0,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,22,64,256,2,OS,QLinear_131055694275424,1e-06,1e-06,544768,64000,272384,181589,54476,16000,32000,10666
resnet18,45,64,64,2,RS,QConv2d_137300463507296,2e-06,1e-06,9643200,51380224,4821600,3214400,964320,12845056,25690112,8563370
resnet18,45,64,64,2,RS,QConv2d_137300466031440,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,45,64,64,2,RS,QConv2d_137300467634336,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,45,64,64,2,RS,QConv2d_137300463507440,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,45,64,64,2,RS,QConv2d_137300463506624,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,45,64,64,2,RS,QConv2d_137300463505808,2e-06,1e-06,12918784,6422528,6459392,4306261,1291878,1605632,3211264,1070421
resnet18,45,64,64,2,RS,QConv2d_137300463505376,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,45,64,64,2,RS,QConv2d_137300463506480,1e-06,1e-06,12853248,6422528,6426624,4284416,1285324,1605632,3211264,1070421
resnet18,45,64,64,2,RS,QConv2d_137300463505040,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,45,64,64,2,RS,QConv2d_137300463504992,1e-06,0.0,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,45,64,64,2,RS,QConv2d_137300463508304,1e-06,0.0,6717440,3211264,3358720,2239146,671744,802816,1605632,535210
resnet18,45,64,64,2,RS,QConv2d_137300463508448,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,45,64,64,2,RS,QConv2d_137300463504800,1e-06,1e-06,6455296,3211264,3227648,2151765,645529,802816,1605632,535210
resnet18,45,64,64,2,RS,QConv2d_137300463508640,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,45,64,64,2,RS,QConv2d_137300463508784,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,45,64,64,2,RS,QConv2d_137300463509264,1e-06,0.0,4390912,1605632,2195456,1463637,439091,401408,802816,267605
resnet18,45,64,64,2,RS,QConv2d_137300463509408,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,45,64,64,2,RS,QConv2d_137300463508880,1e-06,0.0,3342336,1605632,1671168,1114112,334233,401408,802816,267605
resnet18,45,64,64,2,RS,QConv2d_137300463509600,1e-06,0.0,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,45,64,64,2,RS,QConv2d_137300463509744,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,45,64,64,2,RS,QLinear_137300463510032,1e-06,1e-06,544768,64000,272384,181589,54476,16000,32000,10666
resnet18,22,64,128,2,WS,QConv2d_125397590742880,1e-06,1e-06,9643200,51380224,4821600,3214400,964320,12845056,25690112,8563370
resnet18,22,64,128,2,WS,QConv2d_125397594841040,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,128,2,WS,QConv2d_125397591874000,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,128,2,WS,QConv2d_125397591757776,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,128,2,WS,QConv2d_125397592710976,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,128,2,WS,QConv2d_125397590741968,1e-06,1e-06,12918784,6422528,6459392,4306261,1291878,1605632,3211264,1070421
resnet18,22,64,128,2,WS,QConv2d_125397590741584,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,128,2,WS,QConv2d_125397592707280,2e-06,1e-06,12853248,6422528,6426624,4284416,1285324,1605632,3211264,1070421
resnet18,22,64,128,2,WS,QConv2d_125397590741152,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,128,2,WS,QConv2d_125397590741104,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,128,2,WS,QConv2d_125397590743600,1e-06,1e-06,6717440,3211264,3358720,2239146,671744,802816,1605632,535210
resnet18,22,64,128,2,WS,QConv2d_125397590743744,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,128,2,WS,QConv2d_125397590740960,2e-06,1e-06,6455296,3211264,3227648,2151765,645529,802816,1605632,535210
resnet18,22,64,128,2,WS,QConv2d_125397590743936,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,128,2,WS,QConv2d_125397590744080,1e-06,0.0,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
